Input,Target
Привет под вкусный кофеек настроение поболтать появилось, как дела
Ух ты интересно, А у меня из хобби каждую неделю тусить с моим лучшим другом
ПриветКак жизнь, Я вот сегодня понял что меня тупо используют всем нужны от меня лишь деньги ненавижу людей Чем занимаешься по жизни я вот бизнесмен
к свадьбе готовлюсь А ты, Да я надеюсь на этолюблю ее
Добрый деньХорошо  чем увлекаетесь, Я люблю петь в караоке
Люблю готовить пасту  у меня классно получаетсяЛюбишь готовить, ЗдравствуйтеЯ Егор
А мне 30 и я уже работаю, Правда мне не нравится моя работа
Мало платятНа семью не хватаетЖена и трое детей, ПриветКак твои дела
Вс хорошоспать не хочетсядумаю фильм посмотреть, Ещ не решила может быть детектив какой нибудь А как в школе у тебя
А я работаю мне нравится моя работа кем планируешь работать, Не поверишья психолог
Мне нравитсяя люблю свою работу, Нетя живу с мамойа ты
Мне тоже я люблю быть дома одна мне эио часто удатся мы с мамой работаем в разное время а в каком городе ты жившь, А я в Ростове на Дону
Поздно уже может до завтра СПОКОЙНОЙ НОЧИ ПРИЕЗЖАЙ В ГОСТИ, Привет Как дела
Рада новому знакомству У меня тоже вс неплохо Недавнонашла работу по специальности Я дизайнер А ты чем занимаешься Ты откуда, Круто Я из Беларуси МинскПользователь 
А я мечтаю купить дачу но пока не могу себе этогопозволить Катя а тебя, Кстати была в Украине мне там очень понравилось Я вообще люблю путешествовать
Приятно познакомиться, О я тоже люблю море Много где и в Крыму тогда это была ещ Украина
Мы путешествовали с друзьями на машине поэтому многогде побывали Хотя я больше люблю пешие прогулки, О да я люблю животных Но я больше кошатница У менякот Вегас и черепаха Матильда А у тебя есть собака
Здорово Как их зовут, Я тоже Планирую новое путешествие летом Я уже побывалав 12 странах А ты любишь путешествовать Ты молодец спасла две жизни это здорово
Какие, Кстати когда я была во Львове ходила на концертОкеан Эльзи Очень люблю эту группу и вообще рокА какую музыку ты слушаешь
Я была в Германии мне там очень понравилось особенно красивые замки Ну из джаза родился рок, Привет
Как дела Я и Норвегииа ты, Тоже хорошо чего не спишь
Я не работаю, Живу в Норвегии с 11 лет сейчас мне 21 уехали сродителями отцу надо было по работе остались Периодическибываем в России
Летом 2017 Давно Скучаю по России Ты из какогогорода, Чем увлекаешься
Я тоже, Лошадей люблю у нас были давно 10 лошадейВот следил за нимиотцу помогалС тех пор так подрабатываю иногда
Нормально безработных не очень многоДумаю это от неопределенности, Конечно
Привет, Украина
ПОняла но я домработница редко где бываюлюблю варить кофе и питьраскажи о себе, да люблюа также свою семю но я бездетна
Да замужем мечтаю усыновить ребенка, Привет из Норвегии
У нас очень красиво мой попугай всегда говорит Красотаааа  У вас есть животные, С детства не люблю деревья я с них часто падал поэтомупосле университета я вырубил большую поляну возлядома и завел десять лошадейКстати тогда я бросил курить чтоб лошади не пострадалиУ вас есть питомцы
Уже нет никаких пришлось вывести ихЧем увлекаетесь, Я книги люблю Извините пора бежать дочь из сада забирать
Привет, Чем занимаешься Кем работаешь
Я врач но всегда мечтал быть фотографом, Да очень интересно
Круто, А я как то виртуальную реальность не люблю книгилюблю больше читать
У меня есть автомобиль но далеко на нем не ездил, Может быть потому что нету жены я холост Но можетбыть со временем все сменится Хорошо пообщались Спасибо
ПриветКак тебя зовут  Ты откуда, ЛераПользователь Чем занимаешься Ты женат
Где работаешь Я технолог, У меня четверо детей кстати
Чем любишь заниматься в свободное время Развожу улиток, Привет
Замечательно меня Дима зовут а тебя, Приятно познакомитьсяЧем увлекаешься
О у меня тоже собака есть а я вот рисовать люблю но больше стараюсь проводить время со своей семьй ужасно их люблюПрекрасный характер, У меня сынок маленький  тоже тот ещ мечтатель
Ещ я петь люблю правда не умею , Ну скорее в судьбу
Очень мило комуто повезт с такой милашкой Чем занимаешься сейчас Какие планы на вечер, Привееет
Как твои дела Чем занимаешься, Не работаешь Какой твое любимое занятие
Я вот сейчас пирожки ем только кофе к ним не хватаетВообще я животных люблю А ты любишь животных, Да я ветеринар
Можешь привести ко мне кота, привет
а я люблю ходить по магазинам и японскую кухню, ну каждому своеА я ученица  в школе еще учусь
животныхспорт люблю, Предмет биология очень нравится
как дела, круто
вот жду когда зима закончится, а то бегать по снегу не очень
уже горло начинает болеть, очень сегодня сложно было дышать при бегеПока
Здравствуйте, давайте знакомиться
Я Валентина медсестра Мне 30 лет Работаю в стоматолгии а Вы, Дела хорошо сегодня выходной и могу отдохнуть насладившись музыкой Очень приятно
я люблю под настроение Муж у меня любит тишину, Да очень хочу детей но пока не получается Мечтаюо большой семье Немецкий  это здорово
где любите отдыхать, я люблю отдыхать на природе летом типа пикникауже жду когда будет тепло и можно будет осуществить задуманноеЕсть Мажора у Вас
ооо дааа это классикасмотрела его раз 5 наверное, Да как и старые советские фильмы
Животных нет а у Вас, ну да это большая  ответственность
до свидания Удачи, привет чем занимаешься
я шью слипик, это постель такая для детой обожаю свое хобби
а у тебя есть хобби, ух ты как зовут тебя и его
откуда ты, я скоро на тренировку иду со своими друзьями пойдешьсо мной я из Украины всегото приезжай
любишь музыку, маленькая сестра
а я нелблю дискотеки а любимое блюдо есть, оу пикантно
у нас так говорят а я салатики люблю скорей бы весна, и ближе к лету ато я мясо не ем чего
я вегетарианка, что за мысли
конкретно, с полом
не уже умею мне ж 25, отучилась в универе
так ты сдудик студикахаха, пишу быстро просто
круто это оч классные годы, Привет как дела 
Тоже Что делаешь , Нет я инвалид Только вышиваю целыми днями Думаю начать продавать картины Чтоб както больше получать денег
Да но процесс очень долгий А ты чем увлекаешься , привет как дела как жизнь пишу с целью рекламы я открыл зоопарк и приглашаю бесплатно первое посещени на первое посещение очень люблю животных поэтому и создал зоопарк чтобыза ними ухаживать
сейчас готовлю а ты, где работаешь кем
ирландские креветки они очень дорогие но меня это не смущает папа платит, я пока работу не нашла сейчас учусь т к очень животных люблю решила учитсья на ветеринара а зоопарком работу не считаю
так помощь животным оуахахахах, приходи сереневая 8 завтра к 1000 открытие пойду дальше созывать людей пока пока
очень много их нужно приходить и смотреть, Добрый день Как у вас дела
У меня просто отлично Сын родился сегодняА вы электрик, А чем вы увлекаетесь
О рыбалку я тоже люблю А ещ коплю деньги на домик у озера, На червя 
Тоже не плохо, Привет
Меня зовут Аня а вас Я с прекрасного города Йошкар Ола сейчас сижу жую вяляенную дыню Вы это пробовалиА вы откуда, Очень приятно познакомиться Ой мои выходные этопрекрасная возможность посидеть послушать классическую музыку а что слушаете вы А много у вас собак
Домашних животных к сожалению у меня нет Ого этоздорово а как их зовут Я безумно люблю плаватьпоэтому летом вместе с семьй еду на чрное мореНи дня не могу провести без произведений МоцартаНа днях пойдем с подругой на органный концерт этопрекрасная возможность А кем вы работаете, Добрый день меня зовут Юлия А как вас зовут
Я из города Тюмень А ты из какого города, Да конечно про город Ирбит слышала это Свердловская область Както мимо проезжали  А тебе сколько лет
да еще не определилась, мне нравится и работа за компьютером дома часто заним сижу можно сказать что это мое хобби 
Но так же нравится спорт есть конечно вариант что можно на преподавателя физкультуры пойти, да я вот и думаю что мне будет ближе Но в передиу меня еще минимум полгода решить
Танцы это хорошо красиво мне нравится волейбол не увлекаюсь конечно профессионально но играю Атлетика тоже нравится т к общая физ подготовка ну и плавание мне нравится но бассейнпосещаю ооочень редко А у тебя есть хобби или может просто что то нравится по мимо танцев, Да животные требуют к себе внимание Но у меня тожеочень мало времени на все не хватает И приходитсячем то жертвовать например бассейном нет у меня нет домашних животных Но хотелось быкошечку чтобы мурчала  и ласкалась  а как у тебя проходят вечера или выходные 
Да думаю это будет не только интересно но и полезно, Понятно ну да тяжело так жить А я вот меломан поэтомувечера и по возможности выходные провожу за компьютером и с включенной музыкой Мне тяжело без музыки по возможности всегда включаю
ДА кайф  прочитала и тоже захотелось у каминапосидеть я слушаю разную музыку но настроению Могу и рокпослушать если настроение под попсу то ее включаюи т д , да да особенно когда дома одна то здравствуй танцевальнаямузыка  ну ладно приятно было пообщаться мне нужно бежать Пока
Привет Как дела, Чем любишь заниматься Я художник Очень люблю рисовать пейзажи Почему грустишь Кстати моя любимая пора года осень Тоже люблю погрустить когда идт теплый дождь Где ты жившь
Я живу в Питере Это прекрасный город где белые ночи Сколько твоему ребеночку лет У тебя мальчик или девочка, Я чувствую что ты замечательный человек просто слегка устала от жизненных проблем Как будешь в Питере обязательно заходите Я очень люблю готовить мясо Сейчас как раз должныприйти гости и я готовлю мясо по французски А тысмотришь кулинарные программы
У тебя есть домашние животные, Я с удовольствием постараюсь помочь тебе с работой Я рисую пейзажи но я узнаю у своих коллег кому необходима натурщица  и обязательно тебя посоветую
